                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                 1.0684,                0.89382,                  1.572,                0.93875,                 0.8741,                0.94019,                0.66427,                 1.0351,                0.66951,                  1.608,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.0354,                0.87382,                 1.5403,                0.93864,                0.88772,                0.94674,                0.67202,                 1.0235,                0.63781,                 1.5849,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.0342,                0.84661,                 1.5477,                0.93456,                0.88225,                0.94474,                0.67627,                 1.0263,                0.64417,                 1.5774,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.0384,                0.87439,                 1.5477,                0.91133,                0.88953,                0.94547,                0.65441,                 1.0643,                 0.7018,                 1.6021,               0.000911,               0.000911,               0.000911
                     58,                  1.022,                0.85577,                 1.5291,                0.93984,                  0.894,                0.95358,                 0.6887,                0.99779,                0.63543,                 1.5462,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.0205,                0.84676,                 1.5352,                0.94032,                 0.8932,                0.95049,                0.68375,                 1.0012,                0.62542,                 1.5495,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.0173,                0.84098,                 1.5267,                0.93338,                0.88365,                0.93643,                0.65596,                 1.0414,                0.64995,                 1.6162,              0.0008516,              0.0008516,              0.0008516
                     61,                 1.0201,                0.84571,                 1.5292,                 0.9441,                0.90077,                0.95436,                0.69306,                0.99018,                0.60992,                 1.5439,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.0171,                0.83476,                 1.5221,                0.93221,                0.87653,                0.94994,                0.67643,                 1.0085,                0.65661,                 1.5527,               0.000812,               0.000812,               0.000812
                     63,                 1.0175,                0.83405,                 1.5285,                0.94432,                0.90457,                0.95582,                0.69103,                0.99038,                0.58394,                 1.5482,              0.0007922,              0.0007922,              0.0007922
                     64,                 1.0038,                0.81092,                 1.5213,                0.94151,                0.89635,                0.95364,                0.68204,                 1.0097,                0.61733,                 1.5679,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.0043,                 0.8258,                 1.5225,                 0.9494,                0.89198,                0.95741,                0.69555,                0.97373,                0.59377,                 1.5267,              0.0007526,              0.0007526,              0.0007526
                     66,                 1.0053,                0.82762,                 1.5208,                0.94325,                0.90327,                0.95983,                0.69931,                0.97001,                0.59301,                 1.5181,              0.0007328,              0.0007328,              0.0007328
                     67,                 1.0011,                0.83633,                 1.5162,                0.95491,                0.90936,                0.96138,                0.70364,                0.96469,                0.58099,                 1.5057,               0.000713,               0.000713,               0.000713
                     68,                0.99916,                0.80267,                 1.5201,                0.94035,                0.91481,                0.96137,                0.69887,                0.97624,                0.58874,                 1.5247,              0.0006932,              0.0006932,              0.0006932
                     69,                 0.9835,                0.78392,                 1.4971,                0.95023,                0.91211,                0.96492,                0.70472,                0.96129,                0.57184,                 1.4982,              0.0006734,              0.0006734,              0.0006734
                     70,                0.97612,                0.78113,                 1.4971,                0.95029,                0.91177,                0.96526,                0.71091,                0.93914,                 0.5675,                 1.4792,              0.0006536,              0.0006536,              0.0006536
                     71,                0.97436,                0.79593,                 1.4932,                0.95288,                0.90909,                0.96555,                0.71848,                0.92481,                0.57283,                 1.4766,              0.0006338,              0.0006338,              0.0006338
                     72,                0.96772,                0.78788,                 1.4958,                0.95327,                0.90328,                 0.9634,                0.70415,                0.94803,                0.56839,                 1.4946,               0.000614,               0.000614,               0.000614
                     73,                 0.9716,                0.79437,                 1.5007,                0.95235,                0.91182,                0.96557,                0.71032,                0.94717,                0.56254,                 1.4942,              0.0005942,              0.0005942,              0.0005942
                     74,                0.97409,                0.77304,                 1.4967,                0.95342,                0.91315,                0.96756,                 0.7152,                0.95208,                0.55222,                 1.4867,              0.0005744,              0.0005744,              0.0005744
                     75,                0.97542,                0.78768,                 1.4933,                0.95028,                 0.9104,                0.96291,                0.71053,                0.94743,                0.55489,                 1.4947,              0.0005546,              0.0005546,              0.0005546
                     76,                0.96934,                0.76921,                 1.4814,                0.95471,                0.91228,                0.96375,                0.71281,                 0.9432,                0.54657,                 1.4787,              0.0005348,              0.0005348,              0.0005348
                     77,                0.96468,                0.77469,                 1.4817,                0.95382,                0.91781,                0.96833,                0.70957,                0.92719,                0.55313,                 1.4669,               0.000515,               0.000515,               0.000515
                     78,                0.95631,                0.76597,                 1.4867,                0.96397,                 0.9065,                0.96538,                0.71828,                0.93227,                0.54337,                 1.4701,              0.0004952,              0.0004952,              0.0004952
                     79,                0.95397,                0.76369,                 1.4765,                0.95655,                0.92303,                0.97046,                0.72711,                 0.9015,                0.53354,                 1.4451,              0.0004754,              0.0004754,              0.0004754
                     80,                0.96049,                0.77076,                 1.4854,                 0.9554,                0.92251,                0.96997,                0.72198,                0.91184,                0.54215,                 1.4514,              0.0004556,              0.0004556,              0.0004556
                     81,                0.93712,                0.74784,                 1.4641,                0.95739,                0.92704,                0.97307,                 0.7281,                0.91028,                0.53232,                 1.4468,              0.0004358,              0.0004358,              0.0004358
                     82,                0.94901,                 0.7609,                 1.4691,                0.95791,                0.91983,                0.97328,                0.72887,                0.90207,                 0.5414,                 1.4429,               0.000416,               0.000416,               0.000416
                     83,                0.93776,                0.74716,                 1.4616,                0.95528,                0.92788,                0.97079,                0.72314,                0.90559,                0.54069,                 1.4383,              0.0003962,              0.0003962,              0.0003962
                     84,                0.95154,                0.75798,                 1.4743,                0.96597,                0.90909,                0.97029,                0.73107,                0.89929,                0.52252,                 1.4425,              0.0003764,              0.0003764,              0.0003764
                     85,                0.92802,                0.74635,                 1.4652,                 0.9645,                 0.9204,                0.97384,                0.73339,                 0.9038,                0.51922,                 1.4438,              0.0003566,              0.0003566,              0.0003566
